"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,6132,"s_add_i32 m0, s11, 0x5000",16,64,0,0,""
3,6140,"v_or_b32_e32 v11, 16, v10",16,64,0,0,""
3,6144,"buffer_load_dword v9, s[4:7], 0 offen lds",16,468,404,128,""
3,6152,"v_mov_b32_e32 v9, 0xe80",16,64,0,0,""
3,6160,"v_mad_u32_u24 v9, v12, s3, v9",16,148,80,0,""
3,6168,"v_readfirstlane_b32 s10, v11",16,168,104,0,""
3,6172,"v_add_u32_e32 v13, v9, v2",16,64,0,0,""
3,6176,"v_cndmask_b32_e32 v13, v3, v13, vcc",16,68,0,0,""
3,6180,"s_lshl_b32 s16, s10, 7",16,68,4,124,""
3,6184,"v_lshlrev_b32_e32 v13, 1, v13",16,72,8,0,""
3,6188,"s_add_i32 m0, s16, 0x5000",16,64,0,0,""
3,6196,"s_movk_i32 s10, 0xa8",16,64,0,0,""
3,6200,"buffer_load_dword v13, s[4:7], 0 offen lds",16,204,140,64,""
3,6208,"v_add_u32_e32 v13, 0x80, v5",16,64,0,0,""
3,6216,"s_mov_b32 m0, s2",16,68,0,0,""
3,6220,"v_cmp_gt_i32_e32 vcc, s10, v2",16,200,116,0,""
3,6224,"buffer_load_dwordx4 v13, s[12:15], 0 offen lds",16,320,256,108,""
3,6232,"v_add_u32_e32 v13, 64, v2",16,64,0,0,""
3,6236,"v_mad_u32_u24 v14, v12, s3, v13",16,72,8,0,""
3,6244,"v_cndmask_b32_e32 v14, v3, v14, vcc",16,64,0,0,""
3,6248,"v_add_u32_e32 v13, v9, v13",16,64,0,0,""
3,6252,"v_lshlrev_b32_e32 v14, 1, v14",16,64,0,0,""
3,6256,"s_add_i32 m0, s11, 0x4000",16,64,0,0,""
3,6264,"v_cndmask_b32_e32 v13, v3, v13, vcc",16,80,0,0,""
3,6268,"buffer_load_dword v14, s[4:7], 0 offen lds",16,184,120,112,""
3,6276,"v_lshlrev_b32_e32 v13, 1, v13",16,64,0,0,""
3,6280,"s_add_i32 m0, s16, 0x4000",16,64,0,0,""
3,6288,"v_cmp_eq_u32_e64 s[2:3], 0, v7",16,80,0,0,""
3,6296,"buffer_load_dword v13, s[4:7], 0 offen lds",16,212,148,112,""
3,6304,"v_mul_u32_u24_e32 v16, 0xe8, v12",16,64,0,0,""
3,6312,"s_and_b64 vcc, exec, s[2:3]",16,76,0,0,""
3,6316,"s_cbranch_vccnz 1",16,68,0,52,""
3,6320,"s_barrier",8,6416,6416,0,""
3,6324,"v_readfirstlane_b32 s6, v6",16,444,380,124,""
3,6328,"v_lshlrev_b32_e32 v6, 4, v4",16,64,0,0,""
3,6332,"v_and_b32_e32 v4, 15, v8",16,112,44,0,""
3,6336,"v_and_b32_e32 v12, 7, v8",16,236,172,28,""
3,6340,"v_readfirstlane_b32 s7, v10",16,376,312,0,""
3,6344,"v_or_b32_e32 v15, v6, v4",16,64,0,0,""
3,6348,"v_lshrrev_b32_e32 v10, 4, v8",16,64,0,0,""
3,6352,"v_lshlrev_b32_e32 v7, 4, v7",16,136,72,0,""
3,6356,"v_bfe_u32 v8, v8, 4, 2",16,96,32,0,""
3,6364,"v_bitop3_b32 v17, v10, v12, 3 bitop3:0x6c",16,64,0,0,""
3,6372,"v_or_b32_e32 v26, v4, v7",16,64,0,0,""
3,6376,"v_lshlrev_b32_e32 v28, 7, v15",16,160,96,0,""
3,6380,"v_lshlrev_b32_e32 v10, 3, v17",16,80,16,0,""
3,6384,"v_bitop3_b32 v27, v8, v12, 4 bitop3:0x36",16,64,0,0,""
3,6392,"v_lshl_or_b32 v17, v17, 4, v28",16,72,8,0,""
3,6400,"v_lshlrev_b32_e32 v12, 7, v26",16,112,48,0,""
3,6404,"s_waitcnt vmcnt(0)",16,8420,8420,0,""
3,6408,"s_barrier",16,464,464,0,""
3,6412,"v_lshl_or_b32 v12, v8, 4, v12",16,280,200,0,""
3,6420,"ds_read_b128 v[18:21], v17 offset:8192",16,152,84,112,""
3,6428,"ds_read_b128 v[22:25], v12 offset:20480",16,152,84,0,""
3,6436,"v_readfirstlane_b32 s11, v11",16,284,212,0,""
3,6440,"v_lshlrev_b32_e32 v14, 3, v8",16,196,132,0,""
3,6444,"v_lshlrev_b32_e32 v11, 3, v27",16,104,40,0,""
3,6448,"v_lshlrev_b32_e32 v13, 6, v15",16,248,184,0,""
3,6452,"v_lshlrev_b32_e32 v15, 6, v26",16,188,124,0,""
3,6456,"s_lshl_b32 s16, s6, 7",16,64,0,0,""
3,6460,"s_lshl_b32 s17, s7, 7",16,64,0,0,""
3,6464,"s_lshl_b32 s11, s11, 7",16,64,0,0,""
3,6468,"v_add_u32_e32 v5, 0x100, v5",16,208,144,0,""
3,6476,"s_add_i32 m0, s16, 0x7000",16,64,0,0,""
3,6484,"s_movk_i32 s6, 0x68",16,64,0,0,""
3,6488,"buffer_load_dwordx4 v5, s[12:15], 0 offen lds",16,68,4,64,""
3,6496,"v_add_u32_e32 v5, 0x80, v2",16,136,72,0,""
3,6504,"v_add_u32_e32 v26, v5, v16",16,64,0,0,""
3,6508,"v_cmp_gt_i32_e32 vcc, s6, v2",16,64,0,0,""
3,6512,"v_add_u32_e32 v5, v5, v9",16,64,0,0,""
3,6516,"s_add_i32 m0, s17, 0x6000",16,64,0,192,""
3,6524,"v_cndmask_b32_e32 v26, v3, v26, vcc",16,64,0,0,""
3,6528,"v_lshlrev_b32_e32 v26, 1, v26",16,64,0,0,""
3,6532,"s_mov_b32 s6, s14",16,64,0,0,""
3,6536,"s_mov_b32 s7, s15",16,64,0,0,""
3,6540,"v_cndmask_b32_e32 v5, v3, v5, vcc",16,64,0,0,""
3,6544,"buffer_load_dword v26, s[4:7], 0 offen lds",16,88,24,128,""
3,6552,"v_lshlrev_b32_e32 v5, 1, v5",16,64,0,0,""
